id,address,city,state,zip,bedrooms,bathrooms,sqft,base_rent,has_gym,has_grocery_nearby,pet_friendly,parking_fee,amenity_fee,avg_utilities,walk_score,transit_score,crime_rating,transit_time_to_hub,description
L1000,43321 Brittany Bypass,New Brunswick,NJ,08901,2,1.0,642,2554,True,True,False,0,0,103,47,39,6.3,11,Despite measure ago current.
L1001,959 Janet Cape Apt. 413,Long Branch,NJ,07740,2,2.0,929,2025,False,False,True,50,50,167,55,29,4.4,58,Everyone player half have decide environment. Participant commercial rock clear.
L1002,42388 Burgess Meadow Suite 532,Red Bank,NJ,07701,1,1.0,1367,1552,False,True,False,0,50,100,90,47,8.4,49,Before another body physical society instead as. Other life edge network wall quite. Race Mr environment political.
L1003,88095 Smith Lake Suite 303,Red Bank,NJ,07701,2,1.0,733,2591,False,True,True,0,50,151,78,56,4.1,32,Beat magazine attorney set. Campaign little near enter. Institution deep much role cut find yet practice.
L1004,0106 Mcbride Coves Apt. 338,Piscataway,NJ,08854,2,1.5,573,2423,True,True,True,150,50,149,91,38,7.4,59,Instead everything economic type. Space task better present music address. Unit support coach magazine.
L1005,43098 Julie Centers,Edison,NJ,08817,3,2.0,1821,2948,True,True,False,50,50,181,78,28,4.7,25,Live try most arm meet surface attention attack.
L1006,1079 Charles Forest Suite 251,Long Branch,NJ,07740,2,1.0,1097,2208,False,True,True,150,0,92,34,29,7.1,60,Expect just myself few worker southern. Account stage federal professional voice care break.
L1007,2427 Hoffman Creek,Asbury Park,NJ,07712,1,1.0,979,1741,False,True,True,100,25,108,57,65,4.0,10,"Nation strong old challenge. Among half value win.
Decide economic bill sister this image."
L1008,4330 Raymond Harbors Apt. 458,East Brunswick,NJ,08816,2,1.0,1140,2105,True,True,False,50,75,215,20,51,6.2,17,Former agree theory end oil worker although. Its rock finish paper memory history office effort. Ability understand Mrs rest score provide.
L1009,8044 Russell Prairie Suite 777,Red Bank,NJ,07701,1,1.0,1080,2169,True,True,False,0,75,112,36,70,9.2,20,"List top somebody college be middle plan. Behavior weight dog financial southern challenge.
Worker particularly shoulder lay though."
L1010,9868 Merritt Summit Suite 743,East Brunswick,NJ,08816,4,2.5,2494,2811,False,False,False,150,75,195,35,41,4.5,31,Machine dream key require doctor from throw. Catch discuss really relationship.
L1011,893 Robinson Mews Suite 065,Edison,NJ,08837,2,1.5,507,1872,True,True,True,0,25,98,85,40,4.8,41,Subject try wonder move. Option production base investment term consider. Here deep force seven here.
L1012,4529 Kimberly Estates,Piscataway,NJ,08854,2,2.0,1090,2284,True,False,False,50,0,104,75,55,5.8,39,Official up office traditional. However resource away real physical big.
L1013,726 Jessica Run Suite 987,Edison,NJ,08837,2,1.5,562,2212,False,True,True,50,0,217,77,27,5.7,27,Stay or focus early various everything. During let particular her agreement surface consider. Great election evidence other they.
L1014,8856 Bell Motorway Suite 443,Middletown,NJ,07748,3,1.0,2127,2600,True,True,True,50,0,184,82,71,4.4,35,Firm sea week real course. Everybody operation set others wonder strategy fast.
L1015,16719 Edward Valleys Suite 131,Edison,NJ,08817,1,1.0,771,2148,False,False,False,150,0,128,57,37,9.3,47,Paper so difficult mission late kind. Wrong figure perform participant science way debate decision. Church community avoid able.
